"sim_set_num","M_i","rho_c_i","u22_i","rho_r_i","n_i","dist_i","true_value","point_est","mean_range","coverage","mean_abs_bias","rmse"
1,1,1,1,1,1,1,0,0.000666263106585141,0.347975842300828,0.922,0.0771861063412296,0.0969050562370812
2,1,1,1,1,1,2,0,0.0205941283890856,0.353232239114611,0.917,0.082171882570645,0.101468672224889
3,1,1,1,1,2,1,0,-0.000720698922062739,0.235923846301797,0.934,0.0510337179610265,0.0629216031195868
4,1,1,1,1,2,2,0,0.0125206109680721,0.238290102816149,0.934,0.0512962108686661,0.0634450677463528
5,1,1,1,1,3,1,0,-0.000182289485442509,0.171337252949717,0.941,0.0364018859807951,0.0452252816128826
6,1,1,1,1,3,2,0,0.0116618538047902,0.172407957146114,0.942,0.0356806639882687,0.0447346272847201
7,1,1,1,2,1,1,0.5,0.479863056059941,0.27819246175617,0.919,0.0640277605782599,0.0810132984391127
8,1,1,1,2,1,2,0.5,0.470563068571215,0.283977339143695,0.923,0.0675956793299124,0.0840358712307398
9,1,1,1,2,2,1,0.5,0.49145111450863,0.181958980097773,0.923,0.0388729752815593,0.0493434279834155
10,1,1,1,2,2,2,0.5,0.474170163266555,0.186813158544302,0.914,0.0431482271044996,0.0548899234147137
11,1,1,1,2,3,1,0.5,0.495861091077679,0.130278223944738,0.941,0.0271605194107493,0.034191139897535
12,1,1,1,2,3,2,0.5,0.476742185732181,0.133931459398136,0.903,0.0330970864049884,0.0407169146703626
13,1,1,1,3,1,1,0.9,0.892181866483315,0.0770889029081813,0.913,0.0167329372737639,0.0218862050814726
14,1,1,1,3,1,2,0.9,0.890200067663897,0.0790911418555952,0.918,0.018441247088801,0.023427672243444
15,1,1,1,3,2,1,0.9,0.896791157214175,0.0478534855934394,0.933,0.0100565043015257,0.012717506120029
16,1,1,1,3,2,2,0.9,0.892662535462309,0.0497669348729331,0.911,0.0114502626962737,0.0147755077218451
17,1,1,1,3,3,1,0.9,0.898414426470235,0.0336126164206826,0.947,0.00694774136255609,0.00879989554216999
18,1,1,1,3,3,2,0.9,0.893907443645261,0.0350735526190386,0.9,0.00856465502140388,0.0106243484477148
19,1,2,1,1,1,1,0,0.00527236355705431,0.643382625882063,0.905,0.150009160082742,0.187847689656594
20,1,2,1,1,1,2,0,-0.0268970062240586,0.635261414304353,0.901,0.157123688679953,0.191779494198001
21,1,2,1,1,2,1,0,-0.00307674113432123,0.465027407610888,0.935,0.0963174186713696,0.120508023294128
22,1,2,1,1,2,2,0,-0.0394924654934653,0.458732772827589,0.91,0.106724672682901,0.133075755260456
23,1,2,1,1,3,1,0,-0.0027427686750621,0.344770431746337,0.936,0.0727567062144844,0.0916156384769519
24,1,2,1,1,3,2,0,-0.0375345972520664,0.342061079214801,0.922,0.0783691479757551,0.0964980107952451
25,1,2,1,2,1,1,0.5,0.47506711824402,0.525077796451567,0.903,0.11887671793718,0.154487939921085
